Movie Name,Rating,Runtime,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Genre_War,Genre_Western
The Lion of the Desert,8.2,173,64.76015473887814,16569,3270000,tt0081059,0,0.193253,7.3,1981,78760466.20075,1100009.1155,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Montevideo: Taste of a Dream,8.2,140,58.352808988764046,12600,12600,tt1634013,0,0.222257,7.3,2010,19392071.575000003,31555208.205,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Prisoners,8.1,153,70.0,748917,61002302,tt1392214,1,2.032167,7.8,2013,43057534.23,114314652.3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Mad Max: Fury Road,8.1,120,90.0,1032386,132142175,tt1392190,1,28.419936,7.1,2015,78760466.20075,165524556.362,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Terminator,8.1,107,84.0,887346,38400000,tt0088247,1,4.831966,7.1,1984,13433869.05,164504443.5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blade Runner,8.1,117,84.0,789503,32868943,tt0083658,1,4.215642,7.7,1982,63269987.27,74045476.21,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,143,63.0,1156005,132142175,tt0325980,1,6.864067,7.3,2003,78760466.20075,165524556.362,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Grand Budapest Hotel,8.1,99,88.0,840887,59100318,tt2278388,1,4.93082,7.9,2014,27632731.52,160822790.4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jaws,8.1,124,87.0,625693,132142175,tt0073195,1,2.563191,7.3,1975,28362748.2,165524556.362,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gone Girl,8.1,149,79.0,1010648,132142175,tt2267998,1,6.438727,7.9,2014,56186554.1,165524556.362,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Dead Poets Society,8.1,128,79.0,511370,95860116,tt0097165,1,2.470407,7.9,1989,28847353.0,165524556.362,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Ratatouille,8.1,111,96.0,769221,132142175,tt0382932,1,2.764535,7.3,2007,78760466.20075,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Harry Potter and the Deathly Hallows: Part 2,8.1,130,85.0,902633,132142175,tt1201607,1,5.711315,7.7,2011,78760466.20075,165524556.362,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Catch Me If You Can,8.1,141,75.0,1024319,132142175,tt0264464,1,2.973115,7.6,2002,63037592.47,165524556.362,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Exorcist,8.1,122,81.0,422312,132142175,tt0070047,1,2.010733,7.2,1973,39289276.63,165524556.362,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
The Big Lebowski,8.1,117,71.0,828533,17498804,tt0118715,1,2.556082,7.6,1998,20065432.04,37106552.66,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Stand by Me,8.1,89,75.0,418454,52287414,tt0092005,1,1.349043,7.5,1986,15915251.29,104020093.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rocky,8.1,120,70.0,599834,117235247,tt0075148,1,2.389663,7.2,1976,4214867.831,165524556.362,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
The Help,8.1,146,62.0,473349,132142175,tt1454029,1,1.105855,7.6,2011,24234951.06,120469153.8,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Inside Out,8.1,95,94.0,738666,132142175,tt2096673,1,6.326804,8.0,2015,78760466.20075,165524556.362,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Into the Wild,8.1,148,73.0,636088,18354356,tt0758758,1,2.194526,7.7,2007,15775028.74,59161765.45,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Sound of Music,8.1,172,63.0,245198,132142175,tt0059742,1,1.313676,7.2,1965,56748622.29,165524556.362,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"Lock, Stock and Two Smoking Barrels",8.1,107,66.0,596098,3897569,tt0120735,1,0.699007,7.3,1998,1805888.883,5213760.392,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
