Movie Name,Rating,Runtime,Genre,Metascore,Votes,Gross,imdb_id,Hit,popularity,vote_average,release_year,budget_adj,revenue_adj,is_major_company
Undead,5.4,97,Action,34.0,14530,41196,tt0339840,0,0.126685,5.5,2003,19392071.575000003,31555208.205,0
The Other Man,5.4,88,Drama,34.0,12202,12202,tt0974613,0,0.593722,5.1,2008,15191799.51,1158482.068,0
The Guru,5.4,94,Comedy,47.0,15366,3034181,tt0280720,0,0.817886,5.1,2002,37722622.19,89565316.505,1
100 Feet,5.4,96,Horror,51.18020304568528,12892,12892,tt0899128,0,0.595424,5.8,2008,10127866.34,1129756.401,0
People I Know,5.4,100,Crime,53.0,11615,121972,tt0274711,0,0.211695,5.8,2002,24245227.87,1100009.1155,0
Balls Out: Gary the Tennis Coach,5.4,92,Comedy,56.58610567514677,10188,10188,tt0787470,0,0.389989,5.4,2009,19392071.575000003,31555208.205,0
Surviving Christmas,5.4,91,Comedy,19.0,26106,11663156,tt0252028,0,0.494197,5.0,2004,51950042.99,17078431.17,0
The Hit List,5.4,90,Action,52.75206611570248,11935,11935,tt1575694,0,0.605805,5.1,2011,5816388.256,498974.0,0
The Broken,5.4,93,Drama,65.23290203327171,11109,11109,tt0906734,0,0.447804,5.0,2008,6785670.447,11289686.411,0
Twilight,5.3,122,Drama,56.0,472135,132142175,tt1099212,0,3.107665,5.8,2008,37473105.45,165524556.362,0
Grown Ups 2,5.3,101,Comedy,19.0,161077,132142175,tt2191701,0,1.447973,5.9,2013,74882668.22,165524556.362,1
Tusk,5.3,102,Comedy,55.0,58585,1821983,tt3099498,0,0.559472,4.9,2014,2579054.942,1682561.628,0
Sleeping Beauty,5.3,101,Drama,57.0,33659,37710,tt1588398,0,0.851701,5.4,2011,9693980.426,2763273.152,0
Caligula,5.3,156,Drama,65.23290203327171,37096,23438120,tt0080491,0,0.973049,5.3,1979,52579695.04,70421097.26,0
Spring Breakers,5.3,94,Crime,63.0,145518,14123773,tt2101441,0,1.626627,5.0,2013,4680166.764,29694987.92,0
Jupiter Ascending,5.3,127,Action,40.0,191528,47387723,tt1617661,0,6.189369,5.2,2015,78760466.20075,165524556.362,1
The Green Inferno,5.3,100,Adventure,38.0,46715,7192291,tt2403021,0,0.890965,4.8,2014,4605455.254,6294225.035,0
Scary Movie 2,5.3,83,Comedy,29.0,167712,71308997,tt0257106,0,1.450364,5.5,2001,55416965.25,165524556.362,0
Legion,5.3,100,Action,32.0,108039,40168080,tt1038686,0,0.992107,5.0,2010,26000000.0,67918658.0,0
